PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	SC	GA	UT	PM	OA	HC	HP	DA
S	Oaksford, M; Chater, N		Fiske, ST		Oaksford, Mike; Chater, Nick			New Paradigms in the Psychology of Reasoning	ANNUAL REVIEW OF PSYCHOLOGY, VOL 71	Annual Review of Psychology			Review; Book Chapter								The psychology of verbal reasoning initially compared performance with classical logic. In the last 25 years, a new paradigm has arisen, which focuses on knowledge-rich reasoning for communication and persuasion and is typically modeled using Bayesian probability theory rather than logic. This paradigm provides a new perspective on argumentation, explaining the rational persuasiveness of arguments that are logical fallacies. It also helps explain how and why people stray from logic when given deductive reasoning tasks. What appear to be erroneous responses, when compared against logic, often turn out to be rationally justified when seen in the richer rational framework of the new paradigm. Moreover, the same approach extends naturally to inductive reasoning tasks, in which people extrapolate beyond the data they are given and logic does not readily apply. We outline links between social and individual reasoning and set recent developments in the psychology of reasoning in the wider context of Bayesian cognitive science.										2	2						0066-4308	1545-2085	978-0-8243-0271-9				2020	71						305	330		10.1146/annurev-psych-010419-051132							WOS:000507468100012	31514580				2020-05-06	
J	Johnson-Laird, PN; Ragni, M				Johnson-Laird, P. N.; Ragni, Marco			Possibilities as the foundation of reasoning	COGNITION				Article								Reasoning about possibilities is fundamental in daily life. Yet, it has been little studied in psychology. We present a psychological theory in which it is the foundation of human reasoning. The theory explains how possibilities have distinct interpretations (deontic, epistemic, and alethic), how people represent them in models, and how these models yield inferences. Key principles are that the semantics of possibilities are the same finitary alternatives underlying probabilities, that speech acts can create obligations inexpressible as probabilities, that compound assertions - conditionals and disjunctions - refer to conjunctions of possibilities holding in default of knowledge to the contrary, and that mental models condense multiple consistent possibilities into one. The theory is incompatible with all normal modal logics and with probabilistic logic. Yet, experiments have corroborated its predictions. The article discusses its precursors, rivals, and potentials.										1	1						0010-0277	1873-7838				DEC	2019	193								103950	10.1016/j.cognition.2019.04.019							WOS:000497251200015	31374514				2020-05-06	
J	Douven, I; Elqayam, S; Singmann, H; van Wijnbergen-Huitink, J				Douven, Igor; Elqayam, Shira; Singmann, Henrik; van Wijnbergen-Huitink, Janneke			Conditionals and inferential connections: A hypothetical inferential theory	COGNITIVE PSYCHOLOGY				Article								Intuition suggests that for a conditional to be evaluated as true, there must be some kind of connection between its component clauses. In this paper, we formulate and test a new psychological theory to account for this intuition. We combined previous semantic and psychological theorizing to propose that the key to the intuition is a relevance-driven, satisficing-bounded inferential connection between antecedent and consequent. To test our theory, we created a novel experimental paradigm in which participants were presented with a soritical series of objects, notably colored patches (Experiments 1 and 4) and spheres (Experiment 2), or both (Experiment 3), and were asked to evaluate related conditionals embodying non-causal inferential connections (such as "If patch number 5 is blue, then so is patch number 4"). All four experiments displayed a unique response pattern, in which (largely determinate) responses were sensitive to parameters determining inference strength, as well as to consequent position in the series, in a way analogous to belief bias. Experiment 3 showed that this guaranteed relevance can be suppressed, with participants reverting to the defective conditional. Experiment 4 showed that this pattern can be partly explained by a measure of inference strength. This pattern supports our theory's "principle of relevant inference" and "principle of bounded inference," highlighting the dual processing characteristics of the inferential connection.				Elqayam, Shira/L-1551-2019; Singmann, Henrik/E-7376-2015	Elqayam, Shira/0000-0003-4813-8597; Singmann, Henrik/0000-0002-4842-3657					11	11						0010-0285	1095-5623				MAR	2018	101						50	81		10.1016/j.cogpsych.2017.09.002							WOS:000428100300003	29328949				2020-05-06	
J	Elqayam, S; Thompson, VA; Wilkinson, MR; Evans, JSBT; Over, DE				Elqayam, Shira; Thompson, Valerie A.; Wilkinson, Meredith R.; Evans, Jonathan St. B. T.; Over, David E.			Deontic Introduction: A Theory of Inference From Is to Ought	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				Article								Humans have a unique ability to generate novel norms. Faced with the knowledge that there are hungry children in Somalia, we easily and naturally infer that we ought to donate to famine relief charities. Although a contentious and lively issue in metaethics, such inference from "is" to "ought" has not been systematically studied in the psychology of reasoning. We propose that deontic introduction is the result of a rich chain of pragmatic inference, most of it implicit; specifically, when an action is causally linked to a valenced goal, valence transfers to the action and bridges into a deontic conclusion. Participants in 5 experiments were presented with utility conditionals in which an action results in a benefit, a cost, or neutral outcome (e.g., "If Lisa buys the booklet, she will pass the exam") and asked to evaluate how strongly deontic conclusions (e.g., "Lisa should buy the booklet") follow from the premises. Findings show that the direction of the conclusions was determined by outcome valence (Experiments 1a and 1b), whereas their strength was determined by the strength of the causal link between action and outcome (Experiments 1, 2a, and 2b). We also found that deontic introduction is defeasible and can be suppressed by additional premises that interfere with any of the links in the implicit chain of inference (Experiments 2a, 2b, and 3). We propose that deontic introduction is a species-specific generative capacity whose function is to regulate future behavior.				Elqayam, Shira/L-1551-2019	Elqayam, Shira/0000-0003-4813-8597					12	12						0278-7393	1939-1285				SEP	2015	41	5					1516	1532		10.1037/a0038686							WOS:000361038900018	25642844				2020-05-06	
J	Markovits, H; Brisson, J; de Chantal, PL				Markovits, Henry; Brisson, Janie; de Chantal, Pier-Luc			Deductive Updating Is Not Bayesian	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				Article								One of the major debates concerning the nature of inferential reasoning is between counterexample-based theories such as mental model theory and probabilistic theories. This study looks at conclusion updating after the addition of statistical information to examine the hypothesis that deductive reasoning cannot be explained by probabilistic inferences. In Study 1, participants were given an initial "If P then Q rule" for a phenomenon on a recently discovered planet, told that "Q was true," and asked to make a judgment of either deductive validity or probabilistic likelihood of the putative conclusion that "P is true." They were then told the results of 1,000 observations. In the low-probability problem, 950 times P was false and Q was true, whereas 50 times P was true and Q was true. In the high-probability problem, these proportions were inverted. On the low-probability problem, probabilistic ratings and judgments of logical validity decreased. However, on the high-probability problem, probabilistic ratings remained high whereas judgments of logical validity significantly decreased. Confidence ratings were consistent with this different pattern for probabilistic and for deductive inferences. Study 2 replicated this result with another form of inference, "If P then Q. P is false." These results show that deductive updating is not explicable by Bayesian updating.					Brisson, Janie/0000-0003-4626-8048					8	8						0278-7393	1939-1285				JUL	2015	41	4					949	956		10.1037/xlm0000092							WOS:000357528100002	25603167				2020-05-06	
J	Markovits, H; Thompson, VA; Brisson, J				Markovits, Henry; Thompson, Valerie A.; Brisson, Janie			Metacognition and abstract reasoning	MEMORY & COGNITION				Article								The nature of people's meta-representations of deductive reasoning is critical to understanding how people control their own reasoning processes. We conducted two studies to examine whether people have a metacognitive representation of abstract validity and whether familiarity alone acts as a separate metacognitive cue. In Study 1, participants were asked to make a series of (1) abstract conditional inferences, (2) concrete conditional inferences with premises having many potential alternative antecedents and thus specifically conducive to the production of responses consistent with conditional logic, or (3) concrete problems with premises having relatively few potential alternative antecedents. Participants gave confidence ratings after each inference. Results show that confidence ratings were positively correlated with logical performance on abstract problems and concrete problems with many potential alternatives, but not with concrete problems with content less conducive to normative responses. Confidence ratings were higher with few alternatives than for abstract content. Study 2 used a generation of contrary-to-fact alternatives task to improve levels of abstract logical performance. The resulting increase in logical performance was mirrored by increases in mean confidence ratings. Results provide evidence for a metacognitive representation based on logical validity, and show that familiarity acts as a separate metacognitive cue.					Brisson, Janie/0000-0003-4626-8048					16	16						0090-502X	1532-5946				MAY	2015	43	4					681	693		10.3758/s13421-014-0488-9							WOS:000354400200010	25416026				2020-05-06	
J	Barrouillet, P; Gauffroy, C				Barrouillet, Pierre; Gauffroy, Caroline			Probability in reasoning: A developmental test on conditionals	COGNITION				Article								Probabilistic theories have been claimed to constitute a new paradigm for the psychology of reasoning. A key assumption of these theories is captured by what they call the Equation, the hypothesis that the meaning of the conditional is probabilistic in nature and that the probability of If p then q is the conditional probability, in such a way that P(if p then q) P(qlp). Using the probabilistic truth-table task in which participants are required to evaluate the probability of If p then q sentences, the present study explored the pervasiveness of the Equation through ages (from early adolescence to adulthood), types of conditionals (basic, causal, and inducements) and contents. The results reveal that the Equation is a late developmental achievement only endorsed by a narrow majority of educated adults for certain types of conditionals depending on the content they involve. Age-related changes in evaluating the probability of all the conditionals studied closely mirror the development of truth-value judgements observed in previous studies with traditional truth-table tasks. We argue that our modified mental model theory can account for this development, and hence for the findings related with the probability task, which do not consequently support the probabilistic approach of human reasoning over alternative theories. (c) 2014 Elsevier B.V. All rights reserved.										8	8						0010-0277	1873-7838				APR	2015	137						22	39		10.1016/j.cognition.2014.12.002							WOS:000352744900003	25590946				2020-05-06	
J	Rottman, BM; Hastie, R				Rottman, Benjamin Margolin; Hastie, Reid			Reasoning About Causal Relationships: Inferences on Causal Networks	PSYCHOLOGICAL BULLETIN				Article								Over the last decade, a normative framework for making causal inferences, Bayesian Probabilistic Causal Networks, has come to dominate psychological studies of inference based on causal relationships. The following causal networks-[X -> Y -> Z, X <- Y -> Z, X -> Y <- Z]-supply answers for questions like, "Suppose both X and Y occur, what is the probability Z occurs?" or "Suppose you intervene and make Y occur, what is the probability Z occurs?" In this review, we provide a tutorial for how normatively to calculate these inferences. Then, we systematically detail the results of behavioral studies comparing human qualitative and quantitative judgments to the normative calculations for many network structures and for several types of inferences on those networks. Overall, when the normative calculations imply that an inference should increase, judgments usually go up; when calculations imply a decrease, judgments usually go down. However, 2 systematic deviations appear. First, people's inferences violate the Markov assumption. For example, when inferring Z from the structure X -> Y -> Z, people think that X is relevant even when Y completely mediates the relationship between X and Z. Second, even when people's inferences are directionally consistent with the normative calculations, they are often not as sensitive to the parameters and the structure of the network as they should be. We conclude with a discussion of productive directions for future research.					Rottman, Benjamin/0000-0002-4718-3970					50	50						0033-2909	1939-1455				JAN	2014	140	1					109	139		10.1037/a0031903							WOS:000329044700007	23544658				2020-05-06	
J	Fernbach, PM; Erb, CD				Fernbach, Philip M.; Erb, Christopher D.			A Quantitative Causal Model Theory of Conditional Reasoning	JOURNAL OF EXPERIMENTAL PSYCHOLOGY-LEARNING MEMORY AND COGNITION				Article								The authors propose and test a causal model theory of reasoning about conditional arguments with causal content. According to the theory, the acceptability of modus ponens (MP) and affirming the consequent (AC) reflect the conditional likelihood of causes and effects based on a probabilistic causal model of the scenario being judged. Acceptability of MP is a judgment of causal power, the probability that the antecedent cause is efficacious in bringing about the consequent effect. Acceptability of AC is a judgment of diagnostic strength, the probability of the antecedent cause given the consequent effect. The model proposes that acceptability judgments are derived from a causal Bayesian network with a common effect structure in which the probability of the consequent effect is a function of the antecedent cause, alternative causes, and disabling conditions. In 2 experiments, the model was tested by collecting judgments of the causal parameters of conditionals and using them to derive predictions for MP and AC acceptability using 0 free parameters. To assess the validity of the model, its predictions were fit to the acceptability ratings and compared to the fits of 3 versions of Mental Models Theory. The fits of the causal model theory were superior. Experiment 3 provides direct evidence that people engage in a causal analysis and not a direct calculation of conditional probability when assessing causal conditionals. The causal model theory represents a synthesis across the disparate literatures on deductive, probabilistic, and causal reasoning.				Erb, Christopher/I-8241-2019	Erb, Christopher/0000-0002-1649-2324					30	30						0278-7393	1939-1285				SEP	2013	39	5					1327	1343		10.1037/a0031851							WOS:000323866100001	23565785				2020-05-06	
J	Thompson, VA; Turner, JAP; Pennycook, G				Thompson, Valerie A.; Turner, Jamie A. Prowse; Pennycook, Gordon			Intuition, reason, and metacognition	COGNITIVE PSYCHOLOGY				Article								Dual Process Theories (DPT) of reasoning posit that judgments are mediated by both fast, automatic processes and more deliberate, analytic ones. A critical, but unanswered question concerns the issue of monitoring and control: When do reasoners rely on the first, intuitive output and when do they engage more effortful thinking? We hypothesised that initial, intuitive answers are accompanied by a metacognitive experience, called the Feeling of Rightness (FOR), which can signal when additional analysis is needed. In separate experiments, reasoners completed one of four tasks: conditional reasoning (N = 60), a three-term variant of conditional reasoning (N = 48), problems used to measure base rate neglect (N = 128), or a syllogistic reasoning task (N = 64). For each task, participants were instructed to provide an initial, intuitive response to the problem along with an assessment of the rightness of that answer (FOR). They were then allowed as much time as needed to reconsider their initial answer and provide a final answer. In each experiment, we observed a robust relationship between the FOR and two measures of analytic thinking: low FOR was associated with longer rethinking times and an increased probability of answer change. In turn, FOR judgments were consistently predicted by the fluency with which the initial answer was produced, providing a link to the wider literature on metamemory. These data support a model in which a metacognitive judgment about a first, initial model determines the extent of analytic engagement. (C) 2011 Elsevier Inc. All rights reserved.				Pennycook, Gordon/AAD-6631-2019	Pennycook, Gordon/0000-0003-1344-6143					223	224						0010-0285	1095-5623				NOV	2011	63	3					107	140		10.1016/j.cogpsych.2011.06.001							WOS:000295756200001	21798215				2020-05-06	
